@relation TrainingSet

@attribute Longitude numeric
@attribute Latitude numeric
@attribute Type {Reef,Tiger,Bull,White,Shark,Galapagos,Lemon,Whale,Gray,Mako,Nurse,Blue,Hammerhead,Porbeagle,Blacktip,Silky,Silvertip,Sandbar,Basking,Cow,Whitetip,Zebra}

@data
18.42322,-33.92584,Shark
-122.41942,37.77493,Shark
114.15769,22.28552,Shark
9.27246,45.58005,Blue
116.0724,5.9749,Whale
135,-25,White
-117.15726,32.71533,Shark
-73.12122,41.80065,Shark
151.77647,-32.92715,Bull
151.20732,-33.86785,Nurse
-118.24368,34.05223,Hammerhead
18.42322,-33.92584,White
116.0724,5.9749,Whale
-80.05699,26.6159,Lemon
-121.89468,36.60024,Shark
114.01667,22.3,Shark
-97.06473,33.15401,Reef
-98.5,39.76,Shark
-98.5,39.76,Shark
149.12807,-35.28346,Nurse
-122.03107,37.97798,Shark
-81.63474,33.54437,Shark
-95.36327,29.76328,Nurse
-117.99923,33.6603,White
-79.4163,43.70011,Shark
7.1204,43.66663,Shark
-79.4163,43.70011,Tiger
-102.28259,21.88234,Shark
-79.4163,43.70011,Tiger
136.90641,35.18147,Shark
-85.69337,10.98545,Shark
2.89541,42.69764,Shark
8.01427,47.00016,Whale
0.66667,51.16667,Tiger
-123.11934,49.24966,Shark
-97.97959,30.36377,Reef
-0.12574,51.50853,Reef
37.61556,55.75222,Shark
-43.2075,-22.90278,Shark
-4.99541,50.44056,Shark
-2.23743,53.48095,Blacktip
-74.74294,40.21705,Shark
-2.23743,53.48095,Blacktip
-117.99923,33.6603,Shark
4.88969,52.37403,Lemon
-76.52662,38.56679,Whale
-84.12934,9.99299,Shark
9.27246,45.58005,Shark
149.12807,-35.28346,Nurse
-96.80667,32.78306,Shark
0.46958,51.73575,Shark
-97.97959,30.36377,Reef
-3.60667,37.18817,Shark
115.8614,-31.95224,Shark
-104.9847,39.73915,Shark
-0.18835,51.98781,Shark
-98.5,39.76,Lemon
8.35916,49.63278,Shark
8.35916,49.63278,Shark
-95.36327,29.76328,Shark
-115.13722,36.17497,Shark
-157.85833,21.30694,Tiger
32.58322,-25.96553,Shark
4.88969,52.37403,Reef
4.47917,51.9225,Shark
151.20732,-33.86785,White
-76.74969,38.81595,Reef
0,0,Shark
151.20732,-33.86785,Nurse
-97.51643,35.46756,Whale
-84.12934,9.99299,Reef
-117.15726,32.71533,Whale
-155.99556,19.64056,Shark
-81.09983,32.08354,Lemon
-87.78449,41.57337,Shark
0,0,Shark
-122.33207,47.60621,Shark
-122.33207,47.60621,Shark
-122.33207,47.60621,Shark
-4.14305,50.37153,White
-74.00597,40.71427,Tiger
